name,category,rating,reviews,address,phone,website,hours,google_maps_url,latitude,longitude
A7architects,Architect,,7.0,"First Floor, Plot no. E-196, Shushant Lok - III, near legend Apartments, Sushant Lok III Extension, Sector 57, Gurugram, Haryana 122011",099999 10034,,"Tuesday, 10 am to 8 pm","https://www.google.com/maps/place/A7architects/@28.4586923,77.0075348,13z/data=!4m10!1m2!2m1!1sArchitects+in+Gurgoan!3m6!1s0x390d19fff7e65795:0xe81bd4e2ee2fc5f5!8m2!3d28.4199947!4d77.076298!15sChVBcmNoaXRlY3RzIGluIEd1cmdhb25aFyIVYXJjaGl0ZWN0cyBpbiBndXJnYW9ukgEJYXJjaGl0ZWN0mgFEQ2k5RFFVbFJRVU52WkVOb2RIbGpSamx2VDJwS1lWcDZaRUpYYkd4VlRXdGtXRTlJUms1V1NFNDJVMWRPWVZWdVl4QULgAQD6AQQIABBA!16s%2Fg%2F11fkqyq55x?entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",28.4199947,77.076298
Prachi Associates & Consultant,Architect,,,"19, orchid petals, sector 49, gurgaon, Office No. 607, 6th Floor The Sapphire Mall, Uppal Southened, Gurugram, Haryana 122018",097173 33226,http://www.prachiassociates.in/,"Tuesday, 9 am to 7 pm","https://www.google.com/maps/place/Prachi+Associates+%26+Consultant/@28.4586923,77.0075348,13z/data=!3m1!5s0x390d22f8d7cdc273:0xfc2043297851feed!4m9!1m2!2m1!1sArchitects+in+Gurgoan!3m5!1s0x390d19af785e6777:0x3f163c47bffaf6c0!8m2!3d28.4117981!4d77.0484268!16s%2Fg%2F1tnsq9f9?entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",28.4117981,77.0484268
Stonewall Home Architects Gurgaon,Architect,,,"2778, architects, Sector 46, Gurugram, Haryana 122001",098106 33524,https://www.architects-in-gurgaon.com/,,"https://www.google.com/maps/place/Stonewall+Home+Architects+Gurgaon/@28.4586923,77.0075348,13z/data=!4m10!1m2!2m1!1sArchitects+in+Gurgoan!3m6!1s0x390d1888ae02e5c5:0xd5f5b77dd3ba0f90!8m2!3d28.4370673!4d77.0618387!15sChVBcmNoaXRlY3RzIGluIEd1cmdhb25aFyIVYXJjaGl0ZWN0cyBpbiBndXJnYW9ukgEJYXJjaGl0ZWN04AEA!16s%2Fg%2F11bw5znht0?entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",28.4370673,77.0618387
ACad Studio Pvt. Ltd.,Architectural designer,,,"350 A, Block B, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122001",092058 91804,https://acad.co.in/,"Tuesday, 10 am to 6 pm","https://www.google.com/maps/place/ACad+Studio+Pvt.+Ltd./@28.4586923,77.0075348,13z/data=!4m10!1m2!2m1!1sArchitects+in+Gurgoan!3m6!1s0x390d1958dfacacd9:0x8bde58f5bed30d2f!8m2!3d28.4667464!4d77.0754842!15sChVBcmNoaXRlY3RzIGluIEd1cmdhb25aFyIVYXJjaGl0ZWN0cyBpbiBndXJnYW9ukgEWYXJjaGl0ZWN0dXJhbF9kZXNpZ25lcuABAA!16s%2Fg%2F11hdwh3jzm?entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",28.4667464,77.0754842
ArchitecUS,Architectural designer,,,"2nd Floor, Block-D, Jmd Empire, 263, Golf Course Ext Rd, Sector 62, Gurugram, Nangli Umarpur, Haryana 122098",098119 64064,http://www.architecus.com/,"Tuesday, 10 am to 7:30 pm","https://www.google.com/maps/place/ArchitecUS/@28.4586923,77.0075348,13z/data=!4m10!1m2!2m1!1sArchitects+in+Gurgoan!3m6!1s0x390d233cbc1882b5:0x20c45e8ec89e51d9!8m2!3d28.409587!4d77.0770393!15sChVBcmNoaXRlY3RzIGluIEd1cmdhb25aFyIVYXJjaGl0ZWN0cyBpbiBndXJnYW9ukgEWYXJjaGl0ZWN0dXJhbF9kZXNpZ25lcuABAA!16s%2Fg%2F11qpsd3g_x?entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",28.409587,77.0770393
MK Architects and consultants,Architect,,,"676/27, Street No.9, Madanpuri, Gurugram, Haryana 122001",098910 23388,https://mk-architect-and-consultants.my.canva.site/,"Tuesday, 9 am to 10 pm","https://www.google.com/maps/place/MK+Architects+and+consultants/@28.4586923,77.0075348,13z/data=!4m10!1m2!2m1!1sArchitects+in+Gurgoan!3m6!1s0x390d1990256c6947:0xc7f5807ab8720d22!8m2!3d28.4591241!4d77.0166035!15sChVBcmNoaXRlY3RzIGluIEd1cmdhb25aFyIVYXJjaGl0ZWN0cyBpbiBndXJnYW9ukgEJYXJjaGl0ZWN04AEA!16s%2Fg%2F11pyc38k36?entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",28.4591241,77.0166035
The Sixth Element Architecture & Design Studio Gurgaon India,Architecture firm,,,"Suncity Success Tower, 517, Sector 65, Gurugram, Haryana 122018",098100 69803,https://www.thesixthelement.in/,"Tuesday, 9:30 am to 6:30 pm","https://www.google.com/maps/place/The+Sixth+Element+Architecture+%26+Design+Studio+Gurgaon+India/@28.4586923,77.0075348,13z/data=!4m10!1m2!2m1!1sArchitects+in+Gurgoan!3m6!1s0x390d235114a55ef1:0xb210ac52682e918!8m2!3d28.4086556!4d77.0705421!15sChVBcmNoaXRlY3RzIGluIEd1cmdhb25aFyIVYXJjaGl0ZWN0cyBpbiBndXJnYW9ukgERYXJjaGl0ZWN0dXJlX2Zpcm3gAQA!16s%2Fg%2F11lgt91gdf?entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",28.4086556,77.0705421
Design Plus Studio | Best architect in gurgaon,Architect,,,"9th Floor, Vipul Business Park, 910-911, Central Park II, Sector 48, Gurugram, Haryana 122004",070916 47253,https://designplusstudio.in/best-architect-in-gurgaon/,"Tuesday, Open 24 hours","https://www.google.com/maps/place/Design+Plus+Studio+%7C+Best+architect+in+gurgaon/@28.4590505,76.9552537,13z/data=!4m10!1m2!2m1!1sArchitects+in+Gurgoan!3m6!1s0x390d237e8346fec5:0x45062bf246b62a03!8m2!3d28.4226457!4d77.0376039!15sChVBcmNoaXRlY3RzIGluIEd1cmdhb25aFyIVYXJjaGl0ZWN0cyBpbiBndXJnYW9ukgEJYXJjaGl0ZWN04AEA!16s%2Fg%2F11s1rnb67d?entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",28.4226457,77.0376039
Bricks Architects,Architecture firm,,,"3rd Floor, Palam Vyapar Kendra, C-30, Pocket E, Sector 2, Palam Vihar, Gurugram, Haryana 122017",098184 16476,https://bricksarchitects.com/,"Tuesday, 9 am to 5 pm","https://www.google.com/maps/place/Bricks+Architects/@28.4590505,76.9552537,13z/data=!4m10!1m2!2m1!1sArchitects+in+Gurgoan!3m6!1s0x390d23d00a9b335f:0x398be86c4081e18b!8m2!3d28.5087415!4d77.0313401!15sChVBcmNoaXRlY3RzIGluIEd1cmdhb26SARFhcmNoaXRlY3R1cmVfZmlybeABAA!16s%2Fg%2F11qg0jmrx6?entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",28.5087415,77.0313401
ARCHITECT FIRST,Architect,,,"459a/16,CIVIL LINE,COURT ROAD, RAJIV CHOWK, Gurugram, Haryana 122001",098106 66845,,,"https://www.google.com/maps/place/ARCHITECT+FIRST/@28.4590505,76.9552537,13z/data=!4m10!1m2!2m1!1sArchitects+in+Gurgoan!3m6!1s0x390d19cf031ffa95:0xd21d85b3b09eed6a!8m2!3d28.4481775!4d77.0327892!15sChVBcmNoaXRlY3RzIGluIEd1cmdhb25aFyIVYXJjaGl0ZWN0cyBpbiBndXJnYW9ukgEJYXJjaGl0ZWN0mgFEQ2k5RFFVbFJRVU52WkVOb2RIbGpSamx2VDJ4U2JtRkZhRlpWUm14SllXNUNVbFZZUVRCWlZFRjVWVmRXTlZsV1JSQULgAQD6AQUIjwEQRA!16s%2Fg%2F11rz2fm33_?entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",28.4481775,77.0327892
A N Architects and Planners,Architect,,,"56, Central Avenue Rd, Block C, South City I, Sector 41, Gurugram, Haryana 122003",088266 41234,http://anap.in/,"Tuesday, 9:30 am to 7 pm","https://www.google.com/maps/place/A+N+Architects+and+Planners/@28.4590505,76.9552537,13z/data=!4m9!1m2!2m1!1sArchitects+in+Gurgoan!3m5!1s0x390d194108e29e23:0xe9667ce651386835!8m2!3d28.4602202!4d77.0640297!16s%2Fg%2F11j5fnvfm8?entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",28.4602202,77.0640297
Gurgaon DLF Architects Interior designers,Architect,,,"A-Block, Pocket A, Sector 2, Palam Vihar, Gurugram, Haryana 122017",099997 96871,,"Tuesday, 10 am to 7:30 pm","https://www.google.com/maps/place/Gurgaon+DLF+Architects+Interior+designers/@28.4590505,76.9552537,13z/data=!4m10!1m2!2m1!1sArchitects+in+Gurgoan!3m6!1s0x390d198bbfffffff:0xc163c237fa7ea1f3!8m2!3d28.505204!4d77.0365985!15sChVBcmNoaXRlY3RzIGluIEd1cmdhb25aFyIVYXJjaGl0ZWN0cyBpbiBndXJnYW9ukgEJYXJjaGl0ZWN04AEA!16s%2Fg%2F11xyp56l4?entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",28.505204,77.0365985
designICON | Architects & Interior Designers in Gurugram,Architecture firm,,,"Lower Ground Floor, 1386, Sector 52, Gurugram, Haryana 122011",087440 07600,http://www.designicon.co.in/,"Tuesday, 10 am to 6:30 pm","https://www.google.com/maps/place/designICON+%7C+Architects+%26+Interior+Designers+in+Gurugram/@28.4593652,76.9734384,13z/data=!3m1!5s0x390d18bd6cc54717:0x7fb7774b0d01880f!4m10!1m2!2m1!1sArchitects+in+Gurgoan!3m6!1s0x390ce3d6c0000001:0xe7c9b33326afa71d!8m2!3d28.4401384!4d77.0808657!15sChVBcmNoaXRlY3RzIGluIEd1cmdhb25aFyIVYXJjaGl0ZWN0cyBpbiBndXJnYW9ukgERYXJjaGl0ZWN0dXJlX2Zpcm3gAQA!16s%2Fg%2F1w0qz8zq?entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",28.4401384,77.0808657
